FEN,FEN + Next move,NL Format of FEN,NL Format of FEN + Next move
1nb2bn1/1rk4q/p3ppr1/1p1pP3/1PNP1pPp/2K2P1P/PRP1B1Q1/6NR b - - 0 24,FEN state: 1nb2bn1/1rk4q/p3ppr1/1p1pP3/1PNP1pPp/2K2P1P/PRP1B1Q1/6NR b - - 0 24 ; Best moved5c4,"The current state of the chess board is: Black knight at b8, black bishop at c8, black bishop at f8 and black knight at g8. Black rook at b7, black king at c7 and black queen at h7. Black pawn at a6, black pawn at e6, black pawn at f6 and black rook at g6. Black pawn at b5, black pawn at d5 and white pawn at e5. White pawn at b4, white knight at c4, white pawn at d4, black pawn at f4, white pawn at g4 and black pawn at h4. White king at c3, white pawn at f3 and white pawn at h3. White pawn at a2, white rook at b2, white pawn at c2, white bishop at e2 and white queen at g2. White knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 24. Black to move.","Input: The current state of the chess board is: Black knight at b8, black bishop at c8, black bishop at f8 and black knight at g8. Black rook at b7, black king at c7 and black queen at h7. Black pawn at a6, black pawn at e6, black pawn at f6 and black rook at g6. Black pawn at b5, black pawn at d5 and white pawn at e5. White pawn at b4, white knight at c4, white pawn at d4, black pawn at f4, white pawn at g4 and black pawn at h4. White king at c3, white pawn at f3 and white pawn at h3. White pawn at a2, white rook at b2, white pawn at c2, white bishop at e2 and white queen at g2. White knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 24. Black to move. ; Output: Move from d5 to c4."
rnb1kbnr/1p2qpp1/2p4Q/p2pp3/P1P5/5P2/RP1PP1PP/2B1KBNR b K - 0 15,FEN state: rnb1kbnr/1p2qpp1/2p4Q/p2pp3/P1P5/5P2/RP1PP1PP/2B1KBNR b K - 0 15 ; Best moveh8h6,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at b7, black queen at e7, black pawn at f7 and black pawn at g7. Black pawn at c6 and white queen at h6. Black pawn at a5, black pawn at d5 and black pawn at e5. White pawn at a4 and white pawn at c4. White pawn at f3. White rook at a2, white pawn at b2, white pawn at d2, white pawn at e2, white pawn at g2 and white pawn at h2. White bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 15. Black to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black pawn at b7, black queen at e7, black pawn at f7 and black pawn at g7. Black pawn at c6 and white queen at h6. Black pawn at a5, black pawn at d5 and black pawn at e5. White pawn at a4 and white pawn at c4. White pawn at f3. White rook at a2, white pawn at b2, white pawn at d2, white pawn at e2, white pawn at g2 and white pawn at h2. White bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 15. Black to move. ; Output: Move from h8 to h6."
1n3k1r/p2b1Nb1/5r2/1q1p2pp/P1p5/NPB1PPP1/2PKQ2P/6RR w - - 0 26,FEN state: 1n3k1r/p2b1Nb1/5r2/1q1p2pp/P1p5/NPB1PPP1/2PKQ2P/6RR w - - 0 26 ; Best movea3b5,"The current state of the chess board is: Black knight at b8, black king at f8 and black rook at h8. Black pawn at a7, black bishop at d7, white knight at f7 and black bishop at g7. Black rook at f6. Black queen at b5, black pawn at d5, black pawn at g5 and black pawn at h5. White pawn at a4 and black pawn at c4. White knight at a3, white pawn at b3, white bishop at c3, white pawn at e3, white pawn at f3 and white pawn at g3. White pawn at c2, white king at d2, white queen at e2 and white pawn at h2. White rook at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 26. White to move.","Input: The current state of the chess board is: Black knight at b8, black king at f8 and black rook at h8. Black pawn at a7, black bishop at d7, white knight at f7 and black bishop at g7. Black rook at f6. Black queen at b5, black pawn at d5, black pawn at g5 and black pawn at h5. White pawn at a4 and black pawn at c4. White knight at a3, white pawn at b3, white bishop at c3, white pawn at e3, white pawn at f3 and white pawn at g3. White pawn at c2, white king at d2, white queen at e2 and white pawn at h2. White rook at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 26. White to move. ; Output: Move from a3 to b5."
rnbqkb1r/2Q1p1pp/p6n/3p1pB1/1p1P4/2P5/PP2PPPP/RN2KBNR w KQkq - 0 8,FEN state: rnbqkb1r/2Q1p1pp/p6n/3p1pB1/1p1P4/2P5/PP2PPPP/RN2KBNR w KQkq - 0 8 ; Best movec7d8,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. White queen at c7, black pawn at e7, black pawn at g7 and black pawn at h7. Black pawn at a6 and black knight at h6. Black pawn at d5, black pawn at f5 and white bishop at g5. Black pawn at b4 and white pawn at d4. White pawn at c3. White pawn at a2, white pawn at b2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white knight at b1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. White queen at c7, black pawn at e7, black pawn at g7 and black pawn at h7. Black pawn at a6 and black knight at h6. Black pawn at d5, black pawn at f5 and white bishop at g5. Black pawn at b4 and white pawn at d4. White pawn at c3. White pawn at a2, white pawn at b2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white knight at b1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. White to move. ; Output: Move from c7 to d8."
rn1qkb2/1ppbpppr/3p3p/3P4/1p2P3/PP1Q4/R3KPPP/1N2nBNR w - - 2 14,FEN state: rn1qkb2/1ppbpppr/3p3p/3P4/1p2P3/PP1Q4/R3KPPP/1N2nBNR w - - 2 14 ; Best movee2e1,"The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8 and black bishop at f8. Black pawn at b7, black pawn at c7, black bishop at d7, black pawn at e7, black pawn at f7, black pawn at g7 and black rook at h7. Black pawn at d6 and black pawn at h6. White pawn at d5. Black pawn at b4 and white pawn at e4. White pawn at a3, white pawn at b3 and white queen at d3. White rook at a2, white king at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White knight at b1, black knight at e1, white bishop at f1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 14. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8 and black bishop at f8. Black pawn at b7, black pawn at c7, black bishop at d7, black pawn at e7, black pawn at f7, black pawn at g7 and black rook at h7. Black pawn at d6 and black pawn at h6. White pawn at d5. Black pawn at b4 and white pawn at e4. White pawn at a3, white pawn at b3 and white queen at d3. White rook at a2, white king at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White knight at b1, black knight at e1, white bishop at f1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 2. Full move number is 14. White to move. ; Output: Move from e2 to e1."
rnbq1k1r/1ppp1pp1/8/p2Pp2p/6P1/bP3PP1/P1P1P3/1RBQKBNR w K - 0 10,FEN state: rnbq1k1r/1ppp1pp1/8/p2Pp2p/6P1/bP3PP1/P1P1P3/1RBQKBNR w K - 0 10 ; Best movec1a3,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at f8 and black rook at h8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at f7 and black pawn at g7. Black pawn at a5, white pawn at d5, black pawn at e5 and black pawn at h5. White pawn at g4. Black bishop at a3, white pawn at b3, white pawn at f3 and white pawn at g3. White pawn at a2, white pawn at c2 and white pawn at e2. White rook at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 10. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at f8 and black rook at h8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at f7 and black pawn at g7. Black pawn at a5, white pawn at d5, black pawn at e5 and black pawn at h5. White pawn at g4. Black bishop at a3, white pawn at b3, white pawn at f3 and white pawn at g3. White pawn at a2, white pawn at c2 and white pawn at e2. White rook at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 10. White to move. ; Output: Move from c1 to a3."
r2k1b1r/p1p3p1/1p1pb2q/2PPR3/Qn6/6P1/PP3P2/RNB1KB2 w - - 0 19,FEN state: r2k1b1r/p1p3p1/1p1pb2q/2PPR3/Qn6/6P1/PP3P2/RNB1KB2 w - - 0 19 ; Best movec1h6,"The current state of the chess board is: Black rook at a8, black king at d8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at c7 and black pawn at g7. Black pawn at b6, black pawn at d6, black bishop at e6 and black queen at h6. White pawn at c5, white pawn at d5 and white rook at e5. White queen at a4 and black knight at b4. White pawn at g3. White pawn at a2, white pawn at b2 and white pawn at f2. White rook at a1, white knight at b1, white bishop at c1, white king at e1 and white bishop at f1. Both players have exhausted their castles. Half move number is 0. Full move number is 19. White to move.","Input: The current state of the chess board is: Black rook at a8, black king at d8, black bishop at f8 and black rook at h8. Black pawn at a7, black pawn at c7 and black pawn at g7. Black pawn at b6, black pawn at d6, black bishop at e6 and black queen at h6. White pawn at c5, white pawn at d5 and white rook at e5. White queen at a4 and black knight at b4. White pawn at g3. White pawn at a2, white pawn at b2 and white pawn at f2. White rook at a1, white knight at b1, white bishop at c1, white king at e1 and white bishop at f1. Both players have exhausted their castles. Half move number is 0. Full move number is 19. White to move. ; Output: Move from c1 to h6."
rnbqkb1r/2pppppp/1p5n/p7/P1P5/1QN5/1P1PPPPP/R1B1KBNR w KQkq - 7 8,FEN state: rnbqkb1r/2pppppp/1p5n/p7/P1P5/1QN5/1P1PPPPP/R1B1KBNR w KQkq - 7 8 ; Best moved2d4,"The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at c7, black pawn at d7, black pawn at e7, black pawn at f7, black pawn at g7 and black pawn at h7. Black pawn at b6 and black knight at h6. Black pawn at a5. White pawn at a4 and white pawn at c4. White queen at b3 and white knight at c3. White pawn at b2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 7. Full move number is 8. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black bishop at c8, black queen at d8, black king at e8, black bishop at f8 and black rook at h8. Black pawn at c7, black pawn at d7, black pawn at e7, black pawn at f7, black pawn at g7 and black pawn at h7. Black pawn at b6 and black knight at h6. Black pawn at a5. White pawn at a4 and white pawn at c4. White queen at b3 and white knight at c3. White pawn at b2, white pawn at d2, white pawn at e2, white pawn at f2, white pawn at g2 and white pawn at h2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 7. Full move number is 8. White to move. ; Output: Move from d2 to d4."
2b2kn1/rp2p3/2n1r3/1Ppp3p/5ppb/RP2PNP1/3P1P2/1NBQKB1R w K - 0 21,FEN state: 2b2kn1/rp2p3/2n1r3/1Ppp3p/5ppb/RP2PNP1/3P1P2/1NBQKB1R w K - 0 21 ; Best movef3h4,"The current state of the chess board is: Black bishop at c8, black king at f8 and black knight at g8. Black rook at a7, black pawn at b7 and black pawn at e7. Black knight at c6 and black rook at e6. White pawn at b5, black pawn at c5, black pawn at d5 and black pawn at h5. Black pawn at f4, black pawn at g4 and black bishop at h4. White rook at a3, white pawn at b3, white pawn at e3, white knight at f3 and white pawn at g3. White pawn at d2 and white pawn at f2. White knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 21. White to move.","Input: The current state of the chess board is: Black bishop at c8, black king at f8 and black knight at g8. Black rook at a7, black pawn at b7 and black pawn at e7. Black knight at c6 and black rook at e6. White pawn at b5, black pawn at c5, black pawn at d5 and black pawn at h5. Black pawn at f4, black pawn at g4 and black bishop at h4. White rook at a3, white pawn at b3, white pawn at e3, white knight at f3 and white pawn at g3. White pawn at d2 and white pawn at f2. White knight at b1, white bishop at c1, white queen at d1, white king at e1, white bishop at f1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 21. White to move. ; Output: Move from f3 to h4."
r1bqkr2/p1bp4/2B2n1p/5p2/2p2p2/N1P1P1PN/PP4QP/R1B1K2R b q - 0 18,FEN state: r1bqkr2/p1bp4/2B2n1p/5p2/2p2p2/N1P1P1PN/PP4QP/R1B1K2R b q - 0 18 ; Best moved7c6,"The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8 and black rook at f8. Black pawn at a7, black bishop at c7 and black pawn at d7. White bishop at c6, black knight at f6 and black pawn at h6. Black pawn at f5. Black pawn at c4 and black pawn at f4. White knight at a3, white pawn at c3, white pawn at e3, white pawn at g3 and white knight at h3. White pawn at a2, white pawn at b2, white queen at g2 and white pawn at h2. White rook at a1, white bishop at c1, white king at e1 and white rook at h1. Black queenside is the only castle move available. Half move number is 0. Full move number is 18. Black to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black king at e8 and black rook at f8. Black pawn at a7, black bishop at c7 and black pawn at d7. White bishop at c6, black knight at f6 and black pawn at h6. Black pawn at f5. Black pawn at c4 and black pawn at f4. White knight at a3, white pawn at c3, white pawn at e3, white pawn at g3 and white knight at h3. White pawn at a2, white pawn at b2, white queen at g2 and white pawn at h2. White rook at a1, white bishop at c1, white king at e1 and white rook at h1. Black queenside is the only castle move available. Half move number is 0. Full move number is 18. Black to move. ; Output: Move from d7 to c6."
1nb1kbn1/6r1/r4p1p/p1pppB1p/P2N3P/1qN1P1P1/1PPP1P2/R1BK3R w - - 0 16,FEN state: 1nb1kbn1/6r1/r4p1p/p1pppB1p/P2N3P/1qN1P1P1/1PPP1P2/R1BK3R w - - 0 16 ; Best movec2b3,"The current state of the chess board is: Black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black knight at g8. Black rook at g7. Black rook at a6, black pawn at f6 and black pawn at h6. Black pawn at a5, black pawn at c5, black pawn at d5, black pawn at e5, white bishop at f5 and black pawn at h5. White pawn at a4, white knight at d4 and white pawn at h4. Black queen at b3, white knight at c3, white pawn at e3 and white pawn at g3. White pawn at b2, white pawn at c2, white pawn at d2 and white pawn at f2. White rook at a1, white bishop at c1, white king at d1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 16. White to move.","Input: The current state of the chess board is: Black knight at b8, black bishop at c8, black king at e8, black bishop at f8 and black knight at g8. Black rook at g7. Black rook at a6, black pawn at f6 and black pawn at h6. Black pawn at a5, black pawn at c5, black pawn at d5, black pawn at e5, white bishop at f5 and black pawn at h5. White pawn at a4, white knight at d4 and white pawn at h4. Black queen at b3, white knight at c3, white pawn at e3 and white pawn at g3. White pawn at b2, white pawn at c2, white pawn at d2 and white pawn at f2. White rook at a1, white bishop at c1, white king at d1 and white rook at h1. Both players have exhausted their castles. Half move number is 0. Full move number is 16. White to move. ; Output: Move from c2 to b3."
r1b1kb2/1ppp4/p1n1q3/4P3/2P2B1p/1PN3P1/P3KP2/RN6 w - - 5 26,FEN state: r1b1kb2/1ppp4/p1n1q3/4P3/2P2B1p/1PN3P1/P3KP2/RN6 w - - 5 26 ; Best moveb1d2,"The current state of the chess board is: Black rook at a8, black bishop at c8, black king at e8 and black bishop at f8. Black pawn at b7, black pawn at c7 and black pawn at d7. Black pawn at a6, black knight at c6 and black queen at e6. White pawn at e5. White pawn at c4, white bishop at f4 and black pawn at h4. White pawn at b3, white knight at c3 and white pawn at g3. White pawn at a2, white king at e2 and white pawn at f2. White rook at a1 and white knight at b1. Both players have exhausted their castles. Half move number is 5. Full move number is 26. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black king at e8 and black bishop at f8. Black pawn at b7, black pawn at c7 and black pawn at d7. Black pawn at a6, black knight at c6 and black queen at e6. White pawn at e5. White pawn at c4, white bishop at f4 and black pawn at h4. White pawn at b3, white knight at c3 and white pawn at g3. White pawn at a2, white king at e2 and white pawn at f2. White rook at a1 and white knight at b1. Both players have exhausted their castles. Half move number is 5. Full move number is 26. White to move. ; Output: Move from b1 to d2."
2bq1b2/1ppppk1r/1r5n/5ppp/PpPP2PP/RQ2N2B/4P3/2B1K1NR w K - 0 19,FEN state: 2bq1b2/1ppppk1r/1r5n/5ppp/PpPP2PP/RQ2N2B/4P3/2B1K1NR w K - 0 19 ; Best movec4c5,"The current state of the chess board is: Black bishop at c8, black queen at d8 and black bishop at f8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, black king at f7 and black rook at h7. Black rook at b6 and black knight at h6. Black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at a4, black pawn at b4, white pawn at c4, white pawn at d4, white pawn at g4 and white pawn at h4. White rook at a3, white queen at b3, white knight at e3 and white bishop at h3. White pawn at e2. White bishop at c1, white king at e1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 19. White to move.","Input: The current state of the chess board is: Black bishop at c8, black queen at d8 and black bishop at f8. Black pawn at b7, black pawn at c7, black pawn at d7, black pawn at e7, black king at f7 and black rook at h7. Black rook at b6 and black knight at h6. Black pawn at f5, black pawn at g5 and black pawn at h5. White pawn at a4, black pawn at b4, white pawn at c4, white pawn at d4, white pawn at g4 and white pawn at h4. White rook at a3, white queen at b3, white knight at e3 and white bishop at h3. White pawn at e2. White bishop at c1, white king at e1, white knight at g1 and white rook at h1. White kingside is the only castle move available. Half move number is 0. Full move number is 19. White to move. ; Output: Move from c4 to c5."
r2k1bn1/p7/n1bp1p1r/2p4p/1pP3p1/P2B1PPP/1P1P3K/RNBQ2NR b - - 1 21,FEN state: r2k1bn1/p7/n1bp1p1r/2p4p/1pP3p1/P2B1PPP/1P1P3K/RNBQ2NR b - - 1 21 ; Best moveh5h4,"The current state of the chess board is: Black rook at a8, black king at d8, black bishop at f8 and black knight at g8. Black pawn at a7. Black knight at a6, black bishop at c6, black pawn at d6, black pawn at f6 and black rook at h6. Black pawn at c5 and black pawn at h5. Black pawn at b4, white pawn at c4 and black pawn at g4. White pawn at a3, white bishop at d3, white pawn at f3, white pawn at g3 and white pawn at h3. White pawn at b2, white pawn at d2 and white king at h2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 1. Full move number is 21. Black to move.","Input: The current state of the chess board is: Black rook at a8, black king at d8, black bishop at f8 and black knight at g8. Black pawn at a7. Black knight at a6, black bishop at c6, black pawn at d6, black pawn at f6 and black rook at h6. Black pawn at c5 and black pawn at h5. Black pawn at b4, white pawn at c4 and black pawn at g4. White pawn at a3, white bishop at d3, white pawn at f3, white pawn at g3 and white pawn at h3. White pawn at b2, white pawn at d2 and white king at h2. White rook at a1, white knight at b1, white bishop at c1, white queen at d1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 1. Full move number is 21. Black to move. ; Output: Move from h5 to h4."
r3k1r1/p3qp1p/n6b/1nppp1P1/1p1P4/1P2P1KN/5PP1/1RB1Q2R b q - 1 21,FEN state: r3k1r1/p3qp1p/n6b/1nppp1P1/1p1P4/1P2P1KN/5PP1/1RB1Q2R b q - 1 21 ; Best moveh6g5,"The current state of the chess board is: Black rook at a8, black king at e8 and black rook at g8. Black pawn at a7, black queen at e7, black pawn at f7 and black pawn at h7. Black knight at a6 and black bishop at h6. Black knight at b5, black pawn at c5, black pawn at d5, black pawn at e5 and white pawn at g5. Black pawn at b4 and white pawn at d4. White pawn at b3, white pawn at e3, white king at g3 and white knight at h3. White pawn at f2 and white pawn at g2. White rook at b1, white bishop at c1, white queen at e1 and white rook at h1. Black queenside is the only castle move available. Half move number is 1. Full move number is 21. Black to move.","Input: The current state of the chess board is: Black rook at a8, black king at e8 and black rook at g8. Black pawn at a7, black queen at e7, black pawn at f7 and black pawn at h7. Black knight at a6 and black bishop at h6. Black knight at b5, black pawn at c5, black pawn at d5, black pawn at e5 and white pawn at g5. Black pawn at b4 and white pawn at d4. White pawn at b3, white pawn at e3, white king at g3 and white knight at h3. White pawn at f2 and white pawn at g2. White rook at b1, white bishop at c1, white queen at e1 and white rook at h1. Black queenside is the only castle move available. Half move number is 1. Full move number is 21. Black to move. ; Output: Move from h6 to g5."
r1bq1b1r/3pkp2/8/Qpp1P1pP/2P1n3/P6N/n2P2BP/RN3KR1 w - - 0 18,FEN state: r1bq1b1r/3pkp2/8/Qpp1P1pP/2P1n3/P6N/n2P2BP/RN3KR1 w - - 0 18 ; Best movea5a8,"The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black bishop at f8 and black rook at h8. Black pawn at d7, black king at e7 and black pawn at f7. White queen at a5, black pawn at b5, black pawn at c5, white pawn at e5, black pawn at g5 and white pawn at h5. White pawn at c4 and black knight at e4. White pawn at a3 and white knight at h3. Black knight at a2, white pawn at d2, white bishop at g2 and white pawn at h2. White rook at a1, white knight at b1, white king at f1 and white rook at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 18. White to move.","Input: The current state of the chess board is: Black rook at a8, black bishop at c8, black queen at d8, black bishop at f8 and black rook at h8. Black pawn at d7, black king at e7 and black pawn at f7. White queen at a5, black pawn at b5, black pawn at c5, white pawn at e5, black pawn at g5 and white pawn at h5. White pawn at c4 and black knight at e4. White pawn at a3 and white knight at h3. Black knight at a2, white pawn at d2, white bishop at g2 and white pawn at h2. White rook at a1, white knight at b1, white king at f1 and white rook at g1. Both players have exhausted their castles. Half move number is 0. Full move number is 18. White to move. ; Output: Move from a5 to a8."
rn1qkbnr/1bp1p3/3p1p1p/pp4p1/2PP3P/NP2Q3/P3PPP1/R1B1KBNR w KQkq - 0 8,FEN state: rn1qkbnr/1bp1p3/3p1p1p/pp4p1/2PP3P/NP2Q3/P3PPP1/R1B1KBNR w KQkq - 0 8 ; Best movea3b5,"The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black bishop at b7, black pawn at c7 and black pawn at e7. Black pawn at d6, black pawn at f6 and black pawn at h6. Black pawn at a5, black pawn at b5 and black pawn at g5. White pawn at c4, white pawn at d4 and white pawn at h4. White knight at a3, white pawn at b3 and white queen at e3. White pawn at a2, white pawn at e2, white pawn at f2 and white pawn at g2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. White to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black queen at d8, black king at e8, black bishop at f8, black knight at g8 and black rook at h8. Black bishop at b7, black pawn at c7 and black pawn at e7. Black pawn at d6, black pawn at f6 and black pawn at h6. Black pawn at a5, black pawn at b5 and black pawn at g5. White pawn at c4, white pawn at d4 and white pawn at h4. White knight at a3, white pawn at b3 and white queen at e3. White pawn at a2, white pawn at e2, white pawn at f2 and white pawn at g2. White rook at a1, white bishop at c1, white king at e1, white bishop at f1, white knight at g1 and white rook at h1. White kingside, white queenside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 8. White to move. ; Output: Move from a3 to b5."
r2kr3/1bppn3/pp2pp2/6Pp/2P1P2P/R1N2P2/1P2K3/n1BQ1BNR w - - 3 24,FEN state: r2kr3/1bppn3/pp2pp2/6Pp/2P1P2P/R1N2P2/1P2K3/n1BQ1BNR w - - 3 24 ; Best moveg5f6,"The current state of the chess board is: Black rook at a8, black king at d8 and black rook at e8. Black bishop at b7, black pawn at c7, black pawn at d7 and black knight at e7. Black pawn at a6, black pawn at b6, black pawn at e6 and black pawn at f6. White pawn at g5 and black pawn at h5. White pawn at c4, white pawn at e4 and white pawn at h4. White rook at a3, white knight at c3 and white pawn at f3. White pawn at b2 and white king at e2. Black knight at a1, white bishop at c1, white queen at d1, white bishop at f1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 3. Full move number is 24. White to move.","Input: The current state of the chess board is: Black rook at a8, black king at d8 and black rook at e8. Black bishop at b7, black pawn at c7, black pawn at d7 and black knight at e7. Black pawn at a6, black pawn at b6, black pawn at e6 and black pawn at f6. White pawn at g5 and black pawn at h5. White pawn at c4, white pawn at e4 and white pawn at h4. White rook at a3, white knight at c3 and white pawn at f3. White pawn at b2 and white king at e2. Black knight at a1, white bishop at c1, white queen at d1, white bishop at f1, white knight at g1 and white rook at h1. Both players have exhausted their castles. Half move number is 3. Full move number is 24. White to move. ; Output: Move from g5 to f6."
rn2kb1r/Rpp1pppp/2bp4/8/1Q4P1/3P2nB/2P1PP1P/1NB1K1NR b Kkq - 0 10,FEN state: rn2kb1r/Rpp1pppp/2bp4/8/1Q4P1/3P2nB/2P1PP1P/1NB1K1NR b Kkq - 0 10 ; Best movea8a7,"The current state of the chess board is: Black rook at a8, black knight at b8, black king at e8, black bishop at f8 and black rook at h8. White rook at a7, black pawn at b7, black pawn at c7, black pawn at e7, black pawn at f7, black pawn at g7 and black pawn at h7. Black bishop at c6 and black pawn at d6. White queen at b4 and white pawn at g4. White pawn at d3, black knight at g3 and white bishop at h3. White pawn at c2, white pawn at e2, white pawn at f2 and white pawn at h2. White knight at b1, white bishop at c1, white king at e1, white knight at g1 and white rook at h1. White kingside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 10. Black to move.","Input: The current state of the chess board is: Black rook at a8, black knight at b8, black king at e8, black bishop at f8 and black rook at h8. White rook at a7, black pawn at b7, black pawn at c7, black pawn at e7, black pawn at f7, black pawn at g7 and black pawn at h7. Black bishop at c6 and black pawn at d6. White queen at b4 and white pawn at g4. White pawn at d3, black knight at g3 and white bishop at h3. White pawn at c2, white pawn at e2, white pawn at f2 and white pawn at h2. White knight at b1, white bishop at c1, white king at e1, white knight at g1 and white rook at h1. White kingside, black kingside and black queenside castles are available. Half move number is 0. Full move number is 10. Black to move. ; Output: Move from a8 to a7."
