Row Number,FEN,Move
42,rnb1k2r/pp1p1p2/3b2pn/2p1p2p/Q1P1P3/P7/RP1P1PPP/1NB1KB1R w Kkq - 0 12,a4a8
44,1rb1k1r1/1p3pp1/n1q4n/p1b1P1Bp/P2Q4/RPPN1P2/6PP/1N2KB1R b K - 3 21,c6d4
50,rnb2b2/1p3p2/2ppkBpn/1P1p4/Q5rp/P1P3P1/R3P1BP/1N2K1R1 w - - 0 21,e6g4
51,r1bqkbnr/p1pp2p1/4p2P/2P2p2/Pp5n/1Q1P4/1P2PPBP/RNB1K1NR w KQkq - 0 10,g6f7
52,2rq1bnr/p3pkp1/n1pp4/1p3p1p/1P1P2b1/5PP1/P1PKPNBP/RNBQ3R b - - 3 12,b5c4
57,rnbqkb2/pp1pp2p/5pr1/1Bp2npQ/2P1PP1P/P5P1/1P1P4/RNB1K1NR b KQq - 0 8,g6h5
61,r1bqkb1r/2ppp2p/p1n3p1/1p2n3/1P3p2/N2P1P2/PBPK3P/R2Q1BNR w kq - 0 10,d3e4
65,1rb1kN2/1p2ppp1/p2p3r/2p2P1p/4nBPP/1qPP3B/1P2P1K1/RN1Q2R1 w - - 6 22,b1c3
68,r1bqk1nr/pppnpp2/8/2Pp2pp/Q2b2P1/N4N1P/PP1PPP2/R1B1KB1R w KQkq - 3 8,a4a8
70,2rqkbnr/pb1p1p1p/4p2Q/1p4p1/2p1PP1P/BPP5/P1nPB1P1/RN1K2NR b k - 9 14,h7g6
73,rn5r/1b1qk3/p1p1Pbpn/5p2/5PPp/P2P3B/1PPNQ2P/RN3K1R b - - 3 22,f6e7
80,rn3bn1/N1ppqk1r/1p2p1p1/7p/3P4/1PPb1PP1/1B3PBP/1R2K1NR w K - 0 17,c2d3
81,rnq1kbnr/p1p2p1p/4p3/1p1p2p1/PP4Q1/3PP1Nb/R1P2PPP/2B1KBNR b Kkq - 1 9,g5f4
83,rnb1k1nr/7p/4p2b/1pP3p1/pP3B2/P1P1P2P/Q3q1P1/N1R1KBR1 w - - 0 26,c1e1
87,rnb1kBnr/1p2p2p/2pp1ppq/p7/4P2P/3P1P2/PPPNK1PR/R1Q2BN1 b kq - 4 11,h6f6
88,r1bk4/1pqnb1p1/7r/p1ppn2p/P2P1Pp1/5N1P/1PPN1Q2/R1B2K1R b - - 9 20,e5g4
89,rnb1k1nr/pppp1pp1/7p/4p2q/6PN/b1NP4/1PP1PP1P/R1BQKB1R b KQkq - 1 6,h5h1
94,r1bqkbn1/pppp1p2/4r1p1/2PQp2p/3PP1P1/B1P2PRN/P7/RN2KB2 b Qq - 4 15,d8d5
95,6rr/1bpk4/4p1p1/pN3pPp/1R3Pn1/2P1P3/P4N2/2B1KBR1 b - - 1 25,c7b6
99,rn1qkb1r/pbpppppp/1p3n2/8/3P1P2/P1P5/1P1QP1PP/RNB1KBNR w KQkq - 1 6,d2d4
101,2bq1r2/2ppkp1N/1p5P/n1b2p2/N2PpP2/2B5/2r1P3/R2QKR1B b Q - 0 22,c5e3
103,r1bqkbnr/pp1p1p2/4p3/P1p3pp/1n4P1/5P2/1PPPP2P/RNBQKBNR w KQkq - 2 7,a5b6
106,rn1k3r/p2bq1n1/2p2p1p/1p1p2N1/QPP2p1K/3P4/P2NP1BP/6RR b - - 3 23,e7g5
107,2Qqkb2/r3p2r/3p1p1n/1ppP3p/p5Pp/4NN1B/PPP1PP1R/1RB1K3 w - - 2 20,e3d5
109,1n2k1n1/1p2ppbr/7p/P1p1pp2/P1P5/2NqPNKB/R5PP/2BQ3R w - - 1 19,e3d5
113,rnb1kbnr/p3pppp/8/1ppp4/1P1Pq1P1/2P1P2P/P4P2/RNB1KBNR w KQkq - 0 10,e3f4
115,r1bqkbnr/2pPp3/8/p5p1/1P3pp1/2P5/3PPP1P/RNBQKBNR b KQkq - 0 9,g4g3
127,rnb1k1nr/pppqpp1p/7b/3p4/P2P2p1/2P5/1P2PPPP/RNBQKBNR w KQkq - 1 6,d4e5
131,rn1k1b2/1p1b2pr/2p1p2n/3N1p1p/1p6/B3P1PP/P1PPBK2/RNQ1R3 b - - 1 22,d7d5
134,2b1k2r/rp1pq2p/1P1b1n2/n1p1p1p1/4pN2/pQP2PPP/P2P1K2/RNB2BR1 b k - 1 16,a3b2
135,r1q1k2r/p1p2p2/b1nb2p1/1p1pp1pn/PP4P1/2P1P2P/1B1P1P2/R2QKBNR w KQkq - 2 17,b4c5
137,r1b1kb1r/pp2pppp/3p3n/2n5/PpPq2P1/4PP2/R1QN3P/2B1KBNR w Kkq - 1 13,c2d4
139,rnbqkbn1/1pppppp1/3r4/p2P3p/P4P2/4N3/1PP1P1PP/R1BQKBNR w KQ - 1 8,e2e4
142,rnbN3r/p2pk3/5n2/1p2ppBp/1b2P2P/3Q1N2/PPP1K1P1/2R2B1R w - - 1 24,d3d8
150,6nr/r3p2k/2q1b2p/ppP3PP/Q1P1B3/P1b1p1P1/3BP3/R3K2R b - - 5 25,c3a1
157,rnbqkbnr/p1ppp1p1/1p6/5p1p/P4P2/BPNP4/2P1P1PP/2RQKBNR b Kkq - 0 7,g5f4
160,rnbqkbn1/p2p2pr/1pp1p3/5p2/P6p/1RNP2P1/1PPBPP1P/3QKBNR w Kq - 2 8,b3b7
162,2r4r/p1pp1Bkp/2b5/4qpb1/NP6/8/PBPP1nP1/R3K2R w Q - 0 23,c2c3
165,rnq3r1/2ppk3/p2b1p1p/8/P2pNP1p/1P5N/1RPQPKBn/2B4R w - - 13 23,g2h3
167,1r3bnr/ppp2kpp/5pq1/3p3P/1PPP2PR/1P2Bp2/4PP2/R2QKBN1 w Q - 3 24,g4g6
168,rnb2k2/1p1p1pr1/4pb2/p3Bnpp/1N1P2R1/1Qp4P/4PPP1/3K1BR1 w - - 1 26,g4g7
172,rnbqkbnr/ppppppp1/8/8/8/P2PB2B/1PP1pP1P/RN1QK2R w KQkq - 0 9,f1e2
173,r2q1k1r/pbn4p/5p1b/1p1p1P2/2P2Bp1/3P1NPP/PP2N3/R3KB1R w - - 1 19,f5g6
175,1nb5/3kb1p1/rq3p1r/p1p1p1PQ/P3P2p/2PP1N1P/1P4P1/RNB2K1R w - - 1 16,h5h3
177,rnbq1bnr/pp2pk2/2p2pp1/4B2p/2Np4/3P3P/PPPQPPP1/R3KBNR b KQ - 3 8,d4c3
178,2r1kb1r/p1p4p/n2qp2n/1p1p2p1/b1PP1pP1/P1N2P2/1P1BPN1P/2R1KB1R b Kk - 5 18,g5g4
179,1n1qkb1r/rbp1p1p1/5n1p/pp1p1p2/3P1P1P/NP2PN2/P1PQ1KP1/R1B2B1R w k - 5 10,d4c5
181,r1bk1r2/1p1pbp1p/n3p1p1/p1p5/PPq1NPn1/3PPN2/2P3PP/R1BQKB1R w - - 5 15,e3d4
184,r3k1n1/2pnpp2/1pb4b/p2pQ1p1/1P2P3/P2PB1P1/1RP1N2P/1N2K1R1 w q - 3 25,e5c5
189,1r4nr/1b4k1/n6p/1pp1p1p1/p3p1P1/P2BPP1P/1PPP4/R1BQK1NR w KQ - 1 18,d3h7
191,rnbqk1nr/1pp1p2p/p4ppb/3p4/1P1P4/2P2NP1/P3PP1P/R1BQKBNR w KQkq - 0 7,d4c5
192,r1bqkbnr/p7/2p2pp1/1p1pp3/1PB1PP1P/2P5/P2PN1P1/R1B1K1NR w KQq - 0 12,c4e2
196,rnr3k1/2p2pp1/p2n3p/P1bp3P/1pP1p1P1/3P1K1N/1P6/RNB1QBR1 w - - 0 26,e3f2
199,1rb2B1r/1ppkpq1p/3p4/1P1Pnpp1/p1P3P1/PR2PN1P/3KP1R1/1N3B2 b - - 0 18,e7f8
202,r1bqkb1r/1p1ppppp/p7/2p5/5PPP/P1PP2n1/1P1PR3/RNBQKBN1 w Qkq - 0 9,e2g3
204,1rb1kbnr/ppp1p1p1/3q3p/1P1p1p2/3PP3/N6P/P1PBKnP1/R2Q1BNR w k - 1 10,e2f1
207,1rb1q1n1/1p4p1/3bp1kr/p2p2Np/1PPp3B/P1n3PN/R2K1PBP/1Q5R b - - 5 25,c3d1
208,2b1k3/rp5n/n1ppr1p1/4qp2/PP1P3p/5KbB/1RP2B1P/1N4NR w - - 0 25,f3g3
215,rnbqkb1r/2pppp1p/7n/pp4p1/1P3P2/2NP2P1/P1P1P2P/R1BQKBNR w KQkq - 0 6,d1h5
218,rq3br1/4pkpp/pp3p1n/2pPnP2/4P3/PP3P1P/3PBR2/RNBQK1N1 w Q - 1 17,e4d5
223,3k2nr/p1pbb3/1r1p2p1/Pp2p1qP/5P2/NPP4N/1R1PP2P/n1BQK2R w K - 3 22,d1a4
227,r1b1k1n1/pp1q1pBr/n1p1p3/P4P2/1PPpP2p/N5PP/3P4/RB2KQbR w KQq - 0 19,h7g8
231,rnbqk1r1/p1pp1pb1/Bp6/4p1p1/4n2p/2BP1P2/PPP1N1PP/RN1Q1K1R w q - 0 10,c3e4
232,1nb2b2/2qppk2/r4P1r/pp5n/2p1P1p1/P1PP1K1N/RP2B1PP/1NB4R w - - 0 17,f6f7
235,rnbq1bnr/1pp2ppp/p1kpp3/8/P1PP4/N7/RP2PPPP/2BQKBNR w K - 1 6,c1b2
236,B1r1kbr1/p2bp3/1B1p2p1/P1p1n3/1nP4P/1P1P1p1N/4PP1P/4RK1R w - - 0 23,b6e3
247,rnb4r/p1pk1pp1/3p4/1pP2n1p/PPP1p3/4PPPN/5KBP/NRBqR3 w - - 0 20,b1d1
251,r1bqkr2/2pp3p/3nB1pB/ppnPp3/P3p1P1/N1P5/RP1K1P1P/6NR w q - 0 16,e6d5
253,rnb1kbnr/pp1pp2p/Q7/2p2p2/1q6/4P1p1/P1PP1PPP/R1BNKBNR w KQkq - 0 9,a6b4
256,r2qbb1r/1ppk4/n2p1P1p/p3P1p1/3P2pP/NP6/P1PKN3/1RBQ1B1R b - - 1 16,g5f4
264,r1b2k1r/Np1p2pp/p7/4pP1P/nP5b/3p1NR1/P1nK1PP1/R1B1QB2 w - - 2 20,c1c2
270,1nbqkbnr/2ppp2p/rp3p2/p5p1/4P1P1/1PP5/P2P1P1P/RNBQKBNR w KQk - 2 8,g4f5
278,rnb1kbnr/1p3pp1/p5qp/2pp4/3P1P1P/BP6/P1PQ2P1/RN2KBNR w KQkq - 0 9,f1g2
292,2kr1bnr/pp1qp1p1/n6p/1Ppp1pN1/5P1P/N2P1b2/P1P1P1P1/R1BQKB1R b KQ - 3 13,f3d1
293,r1q1nr2/3nkpb1/1p1pp1pp/1b2PBP1/p1p2P1P/P1P5/1P1P3R/R1BQ1KN1 w - - 1 21,e5e6
297,r1b2br1/3k2pn/1n1p1p1Q/pPpNpq1p/3BP3/1P1P2P1/2PK3P/3R1BNR w - - 6 22,d4f5
300,q3kb1r/r1p1n2p/b1n3p1/3p1p2/PP1p4/B1P1PP1N/2QN2PP/R3K2R b KQ - 2 19,c6d4
306,r2qkb2/2pppp2/np3Nr1/7p/p1P3PP/PP2P3/3P1P2/RNBBK2b b Q - 0 19,d8g5
308,2q1kbr1/p1pnppp1/R2p3p/6N1/2BPPPP1/1rP3P1/1P1K4/1NB3QR b - - 2 18,b3b1
309,rn2qb2/2p2kr1/b2p2pp/1p3p2/1p3P1P/1P1K3R/P1P1P1PN/RQB2B2 w - - 6 25,f4e5
315,1rb1qk1r/2ppp1bp/2n2ppn/pp6/P3BPP1/3P2KP/1PPBP3/R3Q1NR b - - 3 17,a5b4
316,rnb2knr/q4p1p/p1pp2Bb/1p2pPp1/2N1P2P/1P3NP1/P1PP4/R1BQK2R b KQ - 3 13,a7a4
317,rqb1kb1r/6p1/5pP1/ppPp3p/P4N1P/N1P2Pn1/3P1KB1/R1B3QR w - b6 0 21,g2g3
319,q3k1n1/r1p1p1b1/3pnp1r/p6p/Pp2bP1R/4N1P1/1PPKP1B1/1RBQ2N1 b - - 1 20,a8a4
321,r2qkbnr/pbp1ppp1/3p4/1p2n2P/Q1P5/3BP3/PP1P1P1P/RNB1K1NR w KQkq - 2 8,d3a6
322,r1b1k1nr/1p3q1p/2nb2p1/p1p1ppP1/P1P2P2/3PpN1B/1P1QP2P/RN2K2R w KQkq - 5 13,g5f6
323,r1bqkb2/1ppp1p2/p4npr/P6p/QR3pP1/2P4B/1P1PP2P/1NB1K1NR w Kq - 0 12,b4b2
324,1nq1kbnr/1pp1ppp1/B6p/p2p4/4P3/1PP3Qb/P2P1PP1/RNB1K1NR b KQk - 0 8,c8a6
325,1rbq1bn1/p2p1k2/n1p1p1pr/1p6/1P3Pp1/6P1/P1PPPR2/RNBQKB2 w Q - 0 14,b4c5
328,rn1qkb2/pp3p1p/3p1n1p/2pP1b2/1PP1p1r1/P7/4PPPP/RNQ1KBNR w KQq - 2 10,g2g4
334,rnbqk2r/1pppbppp/5n2/p3p3/PPP5/N4N2/R2PPPPP/2BQKB1R b Kkq - 0 6,e7h4
337,4rb2/5p1r/n1kq1n1p/PppppB2/1p1B1P2/N3K1PP/2PPP3/R2Q2R1 b - - 8 25,d6e5
340,rn4nr/1N2p1b1/1Pp4k/p2P2p1/3R2P1/1P3N1p/3PPPP1/2BQKB2 w - - 0 24,b7a8
344,r2k1b1r/p4p1p/1p2p3/1bp1q1p1/P3nPKP/2B3P1/RPP1P1B1/1N5R b - - 1 21,e5c4
349,rnbq1kr1/ppppppbp/5n2/6p1/PP4Q1/2N1PNP1/2PP1P1P/1RB1KB1R w K - 7 9,g4g3
352,r1b1kb1r/pp1p1p2/2p5/2nP2Pp/2PNP3/2K3q1/PP1QBnPR/R1B3N1 w kq - 2 20,h2g3
353,1n2k1n1/rbpp1p1r/p2b4/P3P1pq/1p1P2p1/1P1K1N1P/1BP1P2R/RN1Q1B2 b - - 6 20,h5h1
354,rnb1k2r/1pppqp2/4P3/p1bn2pp/8/N2PB2N/PPP1PKPP/1R1Q1B1R b kq - 4 9,c5e6
356,r1b1kb1r/1ppqp1pp/p7/3pPp2/P4Pn1/1PP5/3NP1PP/RNBQKB1R b KQkq - 0 9,d5e4
361,rnb1kb2/2p2npr/1p1p4/p2q1p2/P1P2P1P/NP1BP1PN/3P4/R2Q1K1R b - - 8 19,d5d6
364,r1b5/1pp3kr/n3pP2/p7/P1P3PP/1q1P2R1/1bQK4/RN3B2 b - - 0 24,b3c2
367,r1b2bnr/N1pk1p2/np2p3/p5pp/PqPpP1PP/R7/1P1P1PB1/2BQK1NR w K - 0 15,a3a4
369,r3kbnr/p1p1p2p/np4p1/5b2/2P2Pp1/PP1QP2B/1B1P3P/RN2K1NR b KQkq - 2 14,g8e7
370,2rqk2r/2pp3n/2b2p1b/p5pp/PP2P1PP/2pPK3/R1Q2P2/3B2NR b - - 3 24,c3b2
377,3r2nr/1p2kppp/n1pp4/p6q/Pb6/5NRb/1PPPPPP1/1NBQKB1R w - - 8 13,f3h5
380,1rbqkb1r/p1pp3p/p5pn/8/3p4/5P1N/PPPP2PP/RNBK3R w - - 1 11,d2d4
391,r3kbnr/p1pbp1p1/5p1p/1q4P1/1n3P2/1P1Pp2B/PBPQN2P/R3KR2 w Q - 4 17,c2e4
392,r1q2bnr/1p2p1p1/1nk2p1p/p1pp1b2/P3P1BN/R6P/1PPP1PP1/1NBQK1R1 w - - 5 14,d1d5
394,r1bqkb1r/ppp1pppp/B6n/3P4/1n1P2P1/5P2/PPP4P/RNBQK1NR b KQkq - 0 7,c8a6
395,3k2nr/Q4p1p/2n1r3/p1b1p3/2Pp2pR/3B1P1N/P5P1/RbBK4 b - - 1 25,c8a6
396,r1bk1br1/2pp1p1p/p1n2np1/1p2p3/P1B1PN2/4qP2/RPPP2PP/2BQNK1R b - - 1 13,e3e6
399,r1bqk1nr/1pppp3/p1n2p1b/Q5pp/2P1P3/5P2/PP1P2PP/RNBK1BNR w kq - 2 7,a5a8
401,rnb4r/ppp2ppp/3pk2n/3Pp3/1b2P2q/8/PPPQNPPP/RNB1KB1R b KQ - 0 9,h4e1
404,r2krb2/p1pb2pp/1pn1pp1n/P2p4/2B1PP2/R7/2PP3P/1NB1QKNR b - - 1 19,b8a8
405,r1b2brk/1pp4p/2Bpp1q1/2n1P1p1/N4pP1/p3P2P/2PP4/RNBKQ2R b - - 0 24,c5e6
410,rnb1kbnr/p4ppp/1pp1p3/3p4/P1P2NPP/5q2/1P1P1P2/RNBQKBR1 w Qkq - 0 11,g2f3
411,rq4n1/1pp1kp1r/p3B2b/N3P1Pp/4p2P/2PQ4/PP5P/R1B1K1NR w KQ - 2 21,e6g8
413,rn3k1r/pb1pppbp/8/1Qpn2P1/3qP3/1PP3P1/P6P/RNB1KBNR w KQ - 5 14,b5d5
416,rnb2bnr/p5p1/4p1k1/1P1p1p1p/qPpP1P1P/4PNK1/P5P1/RN2BBR1 w - - 3 21,a2a4
419,r2qkb1r/p1pbpp2/3pn1pn/1B5p/N3P1PN/5P2/PPPP3P/R1BQKR2 b Qkq - 2 10,d6c5
427,2b2bnr/4p2p/rqnpk1pP/1ppN4/p2PP1p1/P2K1PP1/RPP1Q2R/2B2B2 b - - 0 18,b6c6
435,rn2k1nr/5pP1/4p2p/ppppQ1PB/1PP5/N5PP/P2P4/R1B1K1NR b KQk - 0 18,d8e8
436,rnbq2n1/1p2r3/1b1k4/P2P3p/1p2P3/4RppN/2PK2PP/2B4R b - - 2 25,f3e2
440,rnb1kb1r/pppp1pp1/4p3/5q1p/Pn1P4/NPP1PPP1/3K2BP/R1BQ2NR w kq - 1 11,d4e5
449,r2q1Nn1/1p6/2p1ppk1/p5p1/P4P2/4P1P1/RPPP3r/2BQKR1B b - - 0 19,h2h1
454,1rb1kbn1/pp4p1/2pp3r/4P2p/P1P3q1/R1K1P3/1Bn1P1PP/1Q3BNR w - - 3 17,e3f4
456,rn2nb1r/1b1pkpp1/8/pNP1p1Pp/1P2P2P/5P1B/1BPP2KR/RN3Q2 w - - 0 23,c5b7
463,rnb2bnr/pp1ppk2/2p3pp/3q1P2/3P4/1P2P2N/P1PQ1P1P/RNB1KB1R w KQ - 1 8,d4c5
468,r2qkbnr/p1p2p2/Qp1p3p/P3P1p1/3n2P1/2B2N2/1PP1PP1P/RN2KB1R b KQkq - 4 11,d8a6
470,r2q3r/3pk2p/pp1pnp2/6b1/1np3PQ/PPN1BP1B/2P5/2R2KNR b - - 2 20,b4c3
471,rn1k1b1r/1B1pqpp1/8/1N2p2p/Pp6/6PP/1BPPPn2/1R1QK1NR w K - 2 17,d1f2
474,r3k1nr/1p1b1pBp/n1pp1qN1/N3p1p1/1P6/3P1P2/P1PQP1PP/R1b1KB1R w Kkq - 8 17,g7f5
475,r2qb1n1/1p4pr/Bn1k4/3pp1NP/2pP1B2/1P6/P1P1PP1P/RN2QK1R b - - 0 20,b8a6
477,rnbq3r/1ppknpb1/8/3Pp1pp/1p3P1P/P7/3PP1P1/RNBQKBNR w KQ - 0 11,f1g2
480,rn2kbr1/pbpqnp2/7p/3pp1p1/1pP1P3/NP1P3P/P2N1PP1/1RBQKB1R b q - 1 15,e5e4
489,1rb2kr1/pp1p3p/1b2pn2/5ppP/4PPN1/2P1B3/qP4P1/RN2KBR1 w - - 2 24,e3h6
491,rnb2knr/p5pp/1p1pqp2/2p1pPP1/1PP1P2P/3B4/Pb1PKR2/RN1Q2N1 w - - 3 15,e4e5
492,r1b1k2r/3pp1b1/p4N2/1pp2p2/2P2Pn1/PPB4P/2qPQ1PR/RN2KB2 b Qkq - 0 16,g4e3
493,rnbqk1nr/2pppp1p/1p6/p1P3b1/6PP/N6p/PP1PPP2/1RBQKBN1 b kq - 0 9,h3g2
494,r1bk1bnr/ppn1pp2/2p3p1/2Pp3p/1P2P3/q2P1P2/PN1K2PP/R1BQ1BNR w - - 2 12,b2a3
496,rnbq1bnr/3ppk2/pP6/2p2ppp/5P1P/8/PP1PP1P1/RNBQKBNR w KQ - 0 8,b6a7
499,rnbqkbnr/3ppp1p/p7/1p4p1/4PP1P/P1p3P1/RPPPN3/1NBQKB1R w Kkq - 0 9,a2a3
506,2b2bnr/rpp2k2/3pp3/P4p1p/5P2/3P2qN/2PKP1PP/RN1Q1B1R w - - 1 16,e2f3
508,rnb1kbnr/pp1pqppp/8/2p1p3/1PP1P2P/3B1P2/P2P2P1/RNBQK1NR w KQkq - 1 7,d3h7
511,rn2k3/p2pn1b1/2b2Q1r/1B2p3/4PpPP/P1N2P1R/2P5/3R1KN1 b - - 0 25,e7f6
515,r3k2r/1pp1ppb1/5np1/p1p2P1p/q2P1P2/P3B2K/P1P1P2P/R2Q1BNR w kq - 1 17,b2b4
524,r1b3nr/1p1pq1kp/p3p1p1/1Pp2pb1/P1Q4P/4PPPN/3P4/RNB1KB1R b - - 0 20,e7c5
527,1nb3qr/rp1pp3/2p1k1p1/p1P4Q/BP1b1P2/P3p1PN/3P3n/RNB1KR2 w - - 0 21,f1e2
535,2Bqkbnr/1p2p1p1/r1pP1p2/p2bn2P/3P1P2/BP2P3/P6P/RN1QK1NR b KQk - 0 12,d5c6
536,r1bqk1n1/p3pr2/1pn2Bp1/2pP1p1P/1bQ2Pp1/5NP1/P2PP1R1/1R2KB2 b q - 5 21,c6b4
538,1Bb1q1nr/2ppp3/p2k3p/5p2/7p/PPbP1P2/3QP1PR/RN2KBN1 b - - 2 16,e8b5
539,rnbk2nr/Q1pp3p/3b1pp1/1p2p1B1/1P1P2P1/P1P2P1P/4P3/RN2KBNR w KQ - 0 11,a7e3
541,1n5r/1rqb2p1/p2bpk2/Ppp2p1p/3p1PnP/1PN2N2/1BPPP3/R2Q1K1R b - - 0 23,g4f6
551,rn2k1nr/pb1p2pp/3bpp2/Ppp3PP/8/1q1PPN2/1P1N1P2/1RBQKB1R b Kkq - 0 15,b3b1
552,r1b1kb1r/1p1pppp1/p1n4p/2P5/P1n4P/5P2/RBQKP1P1/1N3BNR w kq - 0 13,c5d6
553,1n3bn1/r2kpp1r/1qp4p/2Pp2pQ/p4PP1/Pp5N/1P1PB2P/RNBK3R b - - 4 17,h6g5
558,4kb1r/p4p2/1p2b1np/3p3q/PPr1p2n/4P2N/2NPKPP1/R1BQ1B1R w k - 3 22,e2e3
560,rnbqkbnr/pp1p1p2/4p2p/2p3p1/1P1P2P1/5N2/PBP1PP1P/RN1QKB1R w KQkq - 0 6,b2h7
564,r3k1nr/pp3b1p/n2p2pb/4pp1q/P1BN1PP1/1P2PQ1R/2PK4/1RB5 b - - 2 22,h5f3
566,r1bqkbnr/2pppp2/p5pp/1p3n2/P6P/N1P3P1/1P1PPP1R/R1BQKBN1 w Qkq - 0 8,h4g5
570,rqb1k1r1/p2n1p1p/2ppp2b/1p1nP1p1/3P1PP1/P4B1N/1PP2KRP/RNB1Q3 w q - 8 15,d4e5
575,r1b1k2r/ppp2ppn/3qp2B/3Nn2R/P7/bP1P4/2P1PPPP/3QKBNR w Kkq - 1 10,h6f8
581,rnbq3r/ppp1kpbp/3pp2n/6p1/P2P2P1/NP5N/1BP1PP1P/R2QKB1R b KQ - 4 7,g5f4
582,r2q1b2/3kpr2/2pN3p/pp6/P1B1nPb1/2P3P1/RP1P1P2/1NB1K2R w - - 1 21,c4a2
583,Q1bqkbr1/2p2p1n/3p3p/1p2p3/1PP5/N4pPP/P2PPKB1/R1B3NR w - - 0 13,c1f4
585,1nbqkbnr/rpp1p1p1/3p4/p4p2/P1P2P1p/1P5P/1B1PP1P1/RN1QKBNR w KQk - 0 7,f4e5
591,Rn1k1bnr/8/2pp1p1p/4pPp1/4P1PR/NP1P3N/1P2K3/2B1QB2 w - - 0 20,g4g3
592,r1bqk2r/ppn1b1p1/3p3n/2B1pp2/1P4pP/P1PP1N1B/3NPP2/R1Q1K2R w KQkq - 1 14,c5b4
596,rn3b1r/p3p2p/Bpp1k1p1/3p2n1/PQ3PP1/7N/1PPP1K1P/RNB4q b - - 1 19,h1h3
601,r1bqkr2/3pp2p/5npb/1Bp2n2/Pp2PP2/B1P2pN1/2QP4/RN3K2 b q - 0 22,f3g2
603,rnb1kbnr/1pqp1p1p/2p5/p3p1p1/1PPP4/P6P/4PPP1/RNBQKBNR b KQkq - 0 6,d5c4
612,r2bknnr/p5pp/p1p1bpP1/8/3Pp3/P2PPP1N/1P2Q2P/RNB1K1R1 w Qkq - 1 21,g6f7
614,rnb1kbnr/3pqp1p/pp2p1p1/2p5/P1P5/4P3/1PQP1PPP/RNB1KBNR w Kkq - 2 7,e2e4
621,1r2kbnr/p1p3p1/n3pq1p/P2pPp1P/5P2/1pNP2P1/RPQ4N/2B1KB1R b Kk - 0 15,f6h8
623,3rkb1r/p3pppp/npp2n2/3pqb2/1P2N3/B2BK1P1/P1PP1P1R/R5N1 w k - 2 14,e4d6
624,r1bq1b1r/pB1pk3/n4n2/4p1pp/Rp1P2p1/2B4P/2P1PPR1/1N1QK1N1 w - - 0 20,c3a5
632,1r2k2r/p2b1pp1/q3p2p/2pp4/1Bp1n2P/2Q1PP2/P2PK1P1/RN3BNR w k - 0 15,c3e3
634,2k2bn1/4p1p1/1pn2p1r/1b1p3p/2PQ2B1/1p2P2P/rB1K2P1/3RN1NR b - - 2 24,a2c2
635,r2q1b1r/2pnkp1p/p2p4/5P2/PP3P1p/R2PP3/QP5R/4KNN1 w - - 0 19,f5e6
636,1nb3n1/3p3k/pp3pN1/4p3/1P2P2r/3P1N1P/1Bq2PP1/1R2KBR1 b - - 5 25,c2f5
641,r1b1kbnr/pq2pppp/npp5/3p4/1P3Q2/2P1P1PN/P2P1P1P/RNB1KB1R w KQkq - 1 8,f4f8
646,4kr2/2p2ppp/rp6/p2p2Q1/P1P5/N2qBP1P/1P4PK/R6R w - - 0 26,e3d3
648,r2Bkb1r/1b1p1Npp/1pn1p3/p2P4/P1p4n/8/1PPNPPPq/R1KQ1B1R w kq - 1 17,f1h2
